name,Super98,Super95,Diesel,PLZ,land,bundesland,bezirk,stadt,strasse,datum,zeit,coordinates_X,coordinates_Y
Genol Lagerhaus Tankstelle,0,0,2.049,3844,at,Niederösterreich,Waidhofen/Thaya,Waldkirchen an der Thaya,Waldkirchen 44,3.11.2022,10:9:9,15.3565481,48.9367125
Turmöl Quick,0,1.739,2.019,5730,at,Salzburg,Zell am See,Mittersill,Zellerstraße 26,3.11.2022,10:9:32,12.4911117,47.2851698
GENOL-LAGERHAUS,0,1.739,0,4242,at,Oberösterreich,Freistadt,Hirschbach,Gusenstrasse 3,3.11.2022,10:9:18,14.4124628,48.4870345
AVIA,0,0,2.049,3812,at,Niederösterreich,Waidhofen/Thaya,Groß-Siegharts,Waidhofnerstraße 3a,3.11.2022,10:9:9,15.4033682,48.7895422
AWI-Diskont Automatentankstelle,0,0,2.022,2020,at,Niederösterreich,Hollabrunn,Schöngrabern,Hauptstraße 140,3.11.2022,10:8:58,16.063085,48.601151
GENOL-LAGERHAUS,0,1.739,0,4291,at,Oberösterreich,Freistadt,Lasberg,Oswalderstrasse 33,3.11.2022,10:9:18,14.5475483,48.4734549
E. Tschuchnigg ,0,1.679,1.979,8511,at,Steiermark,Deutschlandsberg,St. Stefan,Nr. 140,3.11.2022,10:9:34,15.253208,46.928711
avanti - Alkoven Strass 16,0,1.693,1.993,4072,at,Oberösterreich,Eferding,Alkoven,Strass 16,3.11.2022,10:9:16,14.07613,48.28792
"PINK - so pink, so clever",0,1.699,1.988,4100,at,Oberösterreich,Urfahr Umgebung,Ottensheim,Linzer-Straße 60,3.11.2022,10:9:26,14.1836354,48.3354792
"BELLINGER, freie Tankstelle",0,1.739,2.009,6385,at,Tirol,Kitzbühel,Schwendt bei Kössen,Unterschwendt 46,3.11.2022,10:9:44,12.4044,47.6481
Disk ,0,1.779,1.999,6020,at,Tirol,Innsbruck,Innsbruck,Anton Rauch Straße 8,3.11.2022,10:9:41,11.4102173,47.2826206
Paulischin,0,0,2.039,2734,at,Niederösterreich,Neunkirchen,Puchberg, Unternbergweg 1,3.11.2022,10:9:5,15.8960945,47.7917642
Disk TANKAUTOMAT,0,1.764,2.044,3950,at,Niederösterreich,Gmünd,Gmünd,Weitraer Straße 109,3.11.2022,10:8:58,14.970329,48.762337
Diskont-Tankstelle,0,1.699,1.999,7022,at,Burgenland,Mattersburg,Schattendorf,Hauptstraße 121,3.11.2022,10:8:40,16.512151,47.712072
Gutmann ENI Tankstelle,0,1.809,2.039,6632,at,Tirol,Reutte,Ehrwald,Schanz 1a,3.11.2022,10:9:48,10.9185006,47.4322164
Gutmann ENI Tankstelle,0,1.789,2.029,6677,at,Tirol,Reutte,Schattwald,Schattwald 29,3.11.2022,10:9:48,10.4562635,47.5163436
Shell-Tankstelle  Laugus Silvia,0,1.809,0,6642,at,Tirol,Reutte,Stanzach,Bundesstr. 149,3.11.2022,10:9:48,10.561535,47.385995
GENOL-LH EFERDING-OÖ. MITTE eGen,0,1.699,1.999,4070,at,Oberösterreich,Eferding,EFERDING,BAHNHOFSTRASSE 51-55,3.11.2022,10:9:17,14.0143393,48.3021109
BP,0,1.734,2.034,1200,at,Wien,Brigittenau,Wien,Handelskai 90,3.11.2022,10:10:0,16.3843336,48.2430922
Turmöl Quick,0,1.664,1.989,4840,at,Oberösterreich,Vöcklabruck,Vöcklabruck,Linzerstraße 22,3.11.2022,10:9:27,13.6621207,48.0036408
avanti - Haldensee Seestraße 5,0,1.784,2.024,6673,at,Tirol,Reutte,Haldensee,Seestrasse 5,3.11.2022,10:9:48,10.55756,47.49479
Genol Lagerhaus Tankstelle,0,0,2.049,3812,at,Niederösterreich,Waidhofen/Thaya,Groß Siegharts,Silostraße 5,3.11.2022,10:9:9,15.408926010131836,48.788983283912714
Lagerhaus-Genol,0,1.719,0,7121,at,Burgenland,Neusiedl am See,Weiden,Triftstraße 24,3.11.2022,10:8:41,16.874917,47.9276196
Tanke Blaguss,0,0,1.979,7000,at,Burgenland,Eisenstadt,Eisenstadt,Industriestraße,3.11.2022,10:8:38,16.5336044,47.8328353
SB DISKONT plus,0,1.688,1.988,8570,at,Steiermark,Voitsberg,Bärnbach,Packerstrasse 4,3.11.2022,10:9:39,15.1369005,47.0547254
LMEnergy Express,0,1.734,0,5081,at,Salzburg,Salzburg Umgebung,Anif,Salzachtalbundesstraße 111,3.11.2022,10:9:30,13.0641858,47.7313262
Lagerhaus-Genol,0,1.719,0,7131,at,Burgenland,Neusiedl am See,Halbturn,Andauerstraße 1,3.11.2022,10:8:41,16.9760281,47.8702538
Lagerhaus-Genol,0,1.719,0,7162,at,Burgenland,Neusiedl am See,Tadten,Lagerplatz 2,3.11.2022,10:8:41,16.9905274,47.7637837
"PINK - so pink, so clever",0,1.698,1.998,4070,at,Oberösterreich,Eferding,Eferding,Schmiedstraße 29,3.11.2022,10:9:17,14.0209109,48.3081944
Disk TANKAUTOMAT,0,1.755,2.045,6800,at,Vorarlberg,Feldkirch,Feldkirch,Königshofstraße 14,3.11.2022,10:9:52,9.6153319,47.2634002
Turmöl Quick,0,1.73,2.013,2751,at,Niederösterreich,Wiener Neustadt Land,Matzendorf-Hölles,Badenerstraße 51,3.11.2022,10:9:10,16.219604,47.887392
Tankstelle OBERHOFER,0,0,2.019,2032,at,Niederösterreich,Hollabrunn,Enzersdorf im Thale,Enzersdorf im Thale,3.11.2022,10:9:0,16.245024,48.585692
Wildenhofer Diesel Tankstelle,0,0,1.995,5020,at,Salzburg,Salzburg Umgebung,Salzburg,Gniglerstraße 5-7,3.11.2022,10:9:27,13.0497956,47.8157985
F. LEITNER - Kult 34,0,0,2.024,9586,at,Kärnten,Villach Land,Fürnitz,Industriestraße 18a,3.11.2022,10:8:48,13.822157200546668,46.5662344184139
AVIA XPress (unser Service: Luft und Wasser),0,1.728,2.02,3910,at,Niederösterreich,Zwettl,Zwettl,Weitraer Straße 20,3.11.2022,10:9:11,15.1623475,48.6110263
Öllinger GmbH,0,1.725,2.035,3262,at,Niederösterreich,Scheibbs,Wang,Am Anger 1,3.11.2022,10:9:7,15.0241466,48.0406463
Disk TANKAUTOMAT,0,1.754,0,5222,at,Oberösterreich,Braunau,Munderfing,Hauptstraße 112,3.11.2022,10:9:15,13.177966,48.074402
Disk,0,1.784,2.004,6060,at,Tirol,Innsbruck Land,Hall,Innsbrucker Straße 28,3.11.2022,10:9:43,11.4950006,47.2783007
"PINK - so pink, so clever",0,1.699,1.999,4082,at,Oberösterreich,Eferding,Aschach an der Donau,Bahnhofstrasse 26,3.11.2022,10:9:17,14.010318,48.363754
avanti - Sankt Jakob im Rosental 141,0,1.699,2.014,9184,at,Kärnten,Villach Land,Sankt Jakob im Rosental, 141,3.11.2022,10:8:48,14.06226,46.54654
Turmöl Quick,0,1.734,2.029,9545,at,Kärnten,Spittal,Radenthein,Millstätterstraße 21,3.11.2022,10:8:48,13.6962295,46.7983963
Disk TANKAUTOMAT,0,1.779,1.989,6524,at,Tirol,Landeck,Kaunertal,Kaunertal 101,3.11.2022,10:9:46,10.7499389,47.0365443
avanti - Arzl im Pitztal Dorfstraße 16,0,0,2.024,6471,at,Tirol,Imst,Arzl im Pitztal,Dorfstrasse 16,3.11.2022,10:9:42,10.75935,47.21094
SB-Tankstelle Zauner,0,0,1.99,4780,at,Oberösterreich,Schärding,Schärding,Ludwig-Paglstr. 1,3.11.2022,10:9:25,13.439305,48.447209
Turmöl Quick,0,1.694,1.979,1140,at,Wien,Penzing,Wien,Schlossallee 2,3.11.2022,10:9:57,16.314299,48.1893108
 Diskonttankstelle Brüllmeir,0,1.715,2.015,4593,at,Oberösterreich,Kirchdorf,Obergrünburg,Steyrtalstraße 18,3.11.2022,10:9:20,14.2543489,47.9586823
Land lebt auf !,0,0,2.029,8741,at,Steiermark,Judenburg,Eppenstein,Eppenstein 1,3.11.2022,10:9:40,14.7383998,47.1314124
AVIA XPress (unser Service: Luft und Wasser),0,1.769,2.044,3902,at,Niederösterreich,Waidhofen/Thaya,Vitis,Europastraße,3.11.2022,10:9:9,15.194403,48.75864
Turmöl Quick,0,1.664,1.989,4840,at,Oberösterreich,Vöcklabruck,Vöcklabruck,Linzerstraße 37,3.11.2022,10:9:27,13.6623954,48.0033238
Turmöl Quick,0,0,2.014,4643,at,Oberösterreich,Kirchdorf,Pettenbach,Scharnsteiner Straße 38,3.11.2022,10:9:20,14.0002593,47.9383964
Disk,0,1.729,2.029,1020,at,Wien,Leopoldstadt,Wien,Franzensbrückenstrasse 15,3.11.2022,10:9:53,16.3916044,48.2146367
Rumpold,0,1.729,2.021,8794,at,Steiermark,Leoben,Vordernberg,Gewerbepark 9,3.11.2022,10:9:36,14.99141,47.46366
Loacker Tours GmbH (Diesel + Super95),0,1.759,2.049,6842,at,Vorarlberg,Feldkirch,Koblach,Bundesstraße 17,3.11.2022,10:9:52,9.6285154,47.323657
Urschitz,0,1.714,2.015,9584,at,Kärnten,Villach Land,Finkenstein,Faakerseestraße 20,3.11.2022,10:8:48,13.9150633,46.5611325
avanti - Linz Franzosenhausweg 1,0,1.714,2.018,4020,at,Oberösterreich,Linz Land,Linz,Franzosenhausweg 1,3.11.2022,10:9:12,14.29472,48.24886
Treibstoffparadies,0,0,1.994,8524,at,Steiermark,Deutschlandsberg,Bad Gams,Bad Gams 5,3.11.2022,10:9:34,15.2233968,46.8695627
Genol LGH Waldhausen_(-TKK Abschlag),0,1.699,0,4391,at,Oberösterreich,Perg,Waldhausen,Markt 94,3.11.2022,10:9:22,14.9508179,48.2722
Turmöl Quick,0,0,2.034,2261,at,Niederösterreich,Gänserndorf,Angern,Bahnstraße 30,3.11.2022,10:8:56,16.8289382,48.3817953
Turmöl,0,1.748,2.03,3580,at,Niederösterreich,Horn,Horn,Mold 1a,3.11.2022,10:8:59,15.7066824,48.6390981
F. LEITNER,0,1.692,1.992,8055,at,Steiermark,Graz,Graz,Frachtengasse 4,3.11.2022,10:9:35,15.431912942883594,47.02840962510852
Franz Rieß,0,0,2.019,5231,at,Oberösterreich,Braunau,Schalchen,Langwiedmoos 2,3.11.2022,10:9:15,13.1772681,48.1024593
BP,0,1.809,2.099,1190,at,Wien,Döbling,Wien,Heiligenstaedterstr.77 ,3.11.2022,10:9:59,16.3613545,48.2438482
"avanti - Neulengbach, Tullner Straße 1b",0,0,1.979,3040,at,Niederösterreich,St. Pölten Land,Neulengbach,Tullner Strasse 1b,3.11.2022,10:9:6,15.89473,48.19262
Shell Austria,0,1.809,2.099,1190,at,Wien,Döbling,WIEN,HEILIGENSTAEDTERSTR. 60,3.11.2022,10:9:59,16.36138,48.24161
GENOL-LH EFERDING-OÖ. MITTE eGen,0,0,1.999,4731,at,Oberösterreich,Eferding,PRAMBACHKIRCHEN,GRIESKIRCHNERSTRASSE 6,3.11.2022,10:9:16,13.903348,48.310987
Wölfl,0,0,1.938,4963,at,Oberösterreich,Braunau,St. Peter am Hart,Gewerbestraße 10,3.11.2022,10:9:14,13.077085,48.255305
Treibstoffparadies,0,1.694,1.994,8530,at,Steiermark,Deutschlandsberg,Deutschlandsberg,Radlpassstraße 2,3.11.2022,10:9:34,15.2382304,46.8286937
GENOL-LH EFERDING-OÖ. MITTE eGen,0,0,1.999,4072,at,Oberösterreich,Eferding,ALKOVEN,SCHLOSSSTRASSE 51,3.11.2022,10:9:16,14.11491,48.288005
BP,0,1.749,2.029,1050,at,Wien,Margareten,Wien,Margaretenguertel 43-45 ,3.11.2022,10:9:54,16.3517548,48.1796472
ESW Dieselkraftstoff,0,0,2.016,6845,at,Vorarlberg,Dornbirn,Hohenems,Kaulbachstraße 6,3.11.2022,10:9:51,9.680457,47.363987
Turmöl Quick,0,0,1.994,9020,at,Kärnten,Klagenfurt Land,Klagenfurt,Rosentalerstraße 138,3.11.2022,10:8:43,14.299279,46.6086948
GENOL-LH EFERDING-OÖ. MITTE eGen,0,0,1.999,4083,at,Oberösterreich,Eferding,HAIBACH OB DER DONAU,BERGERSTRASSE 1,3.11.2022,10:9:16,13.916588,48.416328
BP - Lagerhaus,0,1.699,0,4150,at,Oberösterreich,Rohrbach,Rohrbach,Scheiblberg 44,3.11.2022,10:9:24,13.9935071,48.5621814
BP - Lagerhaus,0,1.749,0,4164,at,Oberösterreich,Rohrbach,Schwarzenberg,Schwarzenberg 168,3.11.2022,10:9:25,13.8195141,48.7363704
Genol - Raiffeisenlagerhaus St. Pölten,0,1.703,1.998,3184,at,Niederösterreich,Lilienfeld,Türnitz,Mariazeller Strasse 18,3.11.2022,10:9:2,15.497417449951172,47.93719784267224
Tankstelle Holzgethan,0,1.728,2.028,2831,at,Niederösterreich,Neunkirchen,Warth,Marktstraße 39,3.11.2022,10:9:5,16.1264914,47.6471798
Genol - Lagerhaus,0,0,1.999,4150,at,Oberösterreich,Rohrbach,Rohrbach,Scheiblberg 44,3.11.2022,10:9:24,13.9935071,48.5621814
avanti - Heidenreichstein Schremser Straße 52,0,1.764,0,3860,at,Niederösterreich,Gmünd,Heidenreichstein,Schremser Strasse 52,3.11.2022,10:8:57,15.12039,48.86169
BP,0,1.729,2.019,1140,at,Wien,Penzing,Wien,Maroltingergasse 5 ,3.11.2022,10:9:57,16.3028796,48.203324
Disk TANKAUTOMAT,0,1.794,0,6404,at,Tirol,Innsbruck Land,Polling in Tirol,Gewerbezone 12,3.11.2022,10:9:44,11.143494,47.285421
BP,0,1.729,2.019,1140,at,Wien,Penzing,Wien,Linzer Str. 135-137 ,3.11.2022,10:9:57,16.3017905,48.1933363
M3 Tankautomat Fresing,0,1.699,0,8441,at,Steiermark,Leibnitz,Fresing,Fresing 150,3.11.2022,10:9:36,15.4465775,46.7588049
Shell Austria,0,1.759,0,1160,at,Wien,Ottakring,WIEN,PFENNINGGELDG 2/ECKE HERBSTSTRASSE,3.11.2022,10:9:59,16.31328,48.20786
Shell Austria,0,1.739,2.019,1150,at,Wien,Rudolfsheim,WIEN,OEVERSEESTRASSE 2B,3.11.2022,10:9:58,16.31767,48.20186
Lagerhaus Tankstelle ,0,1.719,0,9184,at,Kärnten,Villach Land,Sankt Jakob,Sankt Jakob 70,3.11.2022,10:8:49,14.049067,46.551601
Genol - Lagerhaus,0,0,1.999,4170,at,Oberösterreich,Rohrbach,Haslach,Sternwaldstrasse 56,3.11.2022,10:9:24,14.0553602,48.5733215
Shell Austria,0,0,2.019,1140,at,Wien,Penzing,WIEN,HADIKGASSE 128-134,3.11.2022,10:9:57,16.294513,48.190443
Shell Austria,0,1.759,2.049,1020,at,Wien,Leopoldstadt,WIEN,AUSSTELLUNGSSTRASSE 4,3.11.2022,10:9:53,16.39464,48.21777
AP-Trading GmbH,0,1.749,2.029,5412,at,Salzburg,Hallein,Puch,Urstein Nord 75,3.11.2022,10:9:29,13.0826309,47.7405295
Shell Austria,0,0,2.054,6200,at,Tirol,Schwaz,JENBACH,ACHENSEE-STRASSE 2,3.11.2022,10:9:48,11.77445,47.3885
avanti - Vösendorf Metro Platz 1,0,1.683,1.983,2331,at,Niederösterreich,Mödling,Voesendorf,Metro Platz 1,3.11.2022,10:9:5,16.32296,48.12534
Disk TANKAUTOMAT,0,1.738,2.018,9971,at,Tirol,Lienz,Matrei in Osttirol,Seblas 33,3.11.2022,10:9:47,12.544411,46.9898422
Diesel,0,0,2.025,9701,at,Kärnten,Spittal,Rothenthurn,Lagerhaus Rothenthurn 13,3.11.2022,10:8:47,13.5803153,46.7606041
yes,0,1.718,1.988,8211,at,Steiermark,Weiz,Großpesendorf,Großpesendorf 41,3.11.2022,10:9:39,15.76905,47.150297
GENOL - Lagerhaus,0,1.719,2.003,2700,at,Niederösterreich,Wiener Neustadt Land,Wr. Neustadt,Wienerstraße 95a,3.11.2022,10:8:53,16.2439872,47.8296057
avanti - Schwechat Bruck-Hainburger Straße 24a,0,1.693,1.994,2320,at,Niederösterreich,Wien Umgebung,Schwechat,Bruck-Hainburger Strasse 24a,3.11.2022,10:8:55,16.4855,48.1397
IQ Tankstelle,0,1.749,0,4143,at,Oberösterreich,Rohrbach,Neustift,Rannariedlerstrasse 10,3.11.2022,10:9:25,13.755291,48.503373
IQ  Tankomat Allhaming,0,1.704,0,4511,at,Oberösterreich,Linz Land,Allhaming,Poststrasse 3,3.11.2022,10:9:22,14.158255,48.153132
Turmöl Quick,0,1.734,0,7433,at,Burgenland,Oberwart,Mariasdorf,Mariasdorf 54,3.11.2022,10:8:43,16.240665,47.3629773
BP,0,1.737,2.027,2821,at,Niederösterreich,Wiener Neustadt Land,Frohsdorf,Wr.Neustaedt.Str.120,3.11.2022,10:9:10,16.252985,47.755007
Disconttankstelle Huber Petrol,0,1.668,1.978,5141,at,Oberösterreich,Braunau,Moosdorf,Gewerbepark Süd 3,3.11.2022,10:9:15,12.9885879,48.0391046
IQ Tankstelle,0,1.729,0,2000,at,Niederösterreich,Korneuburg,Stockerau,Donaukraftwerkstrasse 1,3.11.2022,10:9:0,16.237686,48.375765
LAGERHAUS Genol mit Tankkartensystem,0,1.719,0,2523,at,Niederösterreich,Baden,Tattendorf,Oberwaltersdorferstraße 2,3.11.2022,10:8:54,16.3066358,47.956716
Gutmann ENI Tankstelle,0,1.789,1.999,6522,at,Tirol,Landeck,Prutz,Gewerbestraße 2,3.11.2022,10:9:46,10.6671344,47.0914553
BP,0,1.789,0,6020,at,Tirol,Innsbruck,Innsbruck,Höttinger Au 45,3.11.2022,10:9:42,11.3779445507503,47.2648170781453
Turmöl Quick,0,1.591,1.941,3430,at,Niederösterreich,Tulln,Tulln,Jahnstraße 47,3.11.2022,10:9:8,16.0449461,48.3280541
BP,0,0,2.019,1140,at,Wien,Penzing,Wien,Hadikgasse/Kefergasse ,3.11.2022,10:9:57,16.2776905,48.1927168
avanti - Ort im Innkreis Kammer 19,0,0,1.963,4974,at,Oberösterreich,Ried,Ort im Innkreis,Kammer 19,3.11.2022,10:9:23,13.42524,48.31724
BP,0,1.729,2.019,1160,at,Wien,Ottakring,Wien,Gablenzgasse 72 ,3.11.2022,10:9:59,16.321692,48.206071
avanti - Zirl Meilstraße 49,0,1.794,0,6170,at,Tirol,Innsbruck Land,Zirl,Meilstrasse 49,3.11.2022,10:9:43,11.25196,47.27135
Sprint - Landforst Möderbrugg,0,0,2.024,8763,at,Steiermark,Judenburg,Möderbrugg,Hauptstraße 54,3.11.2022,10:9:40,14.48897957211077,47.267529593457006
TURMÖL powered by boesch energy,0,1.657,1.967,1160,at,Wien,Ottakring,Wien,Baldiagasse 14a,3.11.2022,10:9:58,16.3244884,48.215105
Diskont Pöltl,0,1.649,0,7312,at,Burgenland,Oberpullendorf,Unterpetersdorf,Hofstatt 21,3.11.2022,10:8:42,16.579503,47.5907015
Turmöl Quick,0,1.742,0,4942,at,Oberösterreich,Ried,Gurten,Rieder Straße 8,3.11.2022,10:9:23,13.3481402,48.2392811
F. LEITNER,0,1.709,0,8472,at,Steiermark,Leibnitz,Vogau,Rebenland Center Straße 2,3.11.2022,10:9:36,15.602338879077399,46.73890659116481
Shell Tankstelle,0,0,2.029,2191,at,Niederösterreich,Mistelbach,Schrick,Antensee 3,3.11.2022,10:9:4,16.617422,48.519049
Genol,0,0,2.029,2136,at,Niederösterreich,Mistelbach,Laa/Thaya,Thayapark 1-2,3.11.2022,10:9:4,16.3790297,48.7147259
Wölfl,0,0,1.938,4974,at,Oberösterreich,Ried,Reichersberg,Kammer 38 - Gewerbegebiet,3.11.2022,10:9:23,13.425225,48.308489
BP,0,1.779,2.079,1010,at,Wien,Innere Stadt,Wien,Franz Josefskai/Morzinpl ,3.11.2022,10:9:53,16.3743119,48.2123537
Wälderhaus,0,1.78,0,6941,at,Vorarlberg,Bregenz,Langenegg,Gfäll 134,3.11.2022,10:9:51,9.900355,47.472489
AVIA,0,0,1.959,7435,at,Burgenland,Oberwart,Unterkohlstätten,Weissenbachel 102,3.11.2022,10:8:42,16.3237633,47.3749826
Turmöl,0,1.739,0,4240,at,Oberösterreich,Freistadt,Freistadt,Pragerstrasse 3,3.11.2022,10:9:18,14.5027188,48.5144615
BP,0,1.708,2.008,5600,at,Salzburg,St. Johann,St. Johann,Bundesstraße 2,3.11.2022,10:9:31,13.189367,47.3343734
SOCAR Kirchdorf a. d. Krems,0,1.722,2.018,4560,at,Oberösterreich,Kirchdorf,Kirchdorf a. d. Krems,Bambergstraße 44,3.11.2022,10:9:21,14.122109,47.903796
Shell,0,0,2.139,5582,at,Salzburg,Tamsweg,St. Michael,Austrasse 21,3.11.2022,10:9:31,13.6359162,47.0948959
SOCAR Wien-Endresstraße,0,1.689,1.989,1230,at,Wien,Liesing,Wien,Endresstraße 69,3.11.2022,10:10:2,16.2777595,48.1486138
OIL! Tankstelle,0,1.759,2.049,6845,at,Vorarlberg,Dornbirn,Hohenems,Furchgasse 2A,3.11.2022,10:9:51,9.70549,47.3801
avanti - Sankt Veit an der Glan Klagenfurter Straße 78,0,1.709,2.009,9300,at,Kärnten,St. Veit,Sankt Veit an der Glan,Klagenfurter Strasse 78,3.11.2022,10:8:47,14.36625,46.76102
SOCAR Wien-Altmannsdorferstraße,0,1.689,1.989,1230,at,Wien,Liesing,Wien,Altmannsdorfer Straße 200a,3.11.2022,10:10:2,16.3237024,48.1400585
AVIA Xpress (Automaten-Tankstelle),0,1.704,0,4501,at,Oberösterreich,Linz Land,Neuhofen an der Krems,Kremstalstrasse 50,3.11.2022,10:9:22,14.220532,48.131053
Turmöl Quick,0,1.742,0,4906,at,Oberösterreich,Ried,Eberschwang,Eberschwang 98,3.11.2022,10:9:23,13.5618253,48.1568483
OIL! Tankstelle,0,1.729,0,2111,at,Niederösterreich,Korneuburg,Tresdorf Leobendorf,Gewerbepark Tresdorf,3.11.2022,10:9:0,16.3549,48.3661
AVIA XPress (unser Service: Luft und Wasser),0,1.764,2.044,3970,at,Niederösterreich,Gmünd,Altweitra 47,Altweitra 47,3.11.2022,10:8:57,14.9108061,48.7289374
SOCAR Stockerau,0,0,2.018,2000,at,Niederösterreich,Korneuburg,Stockerau,Eduard-Rösch-Straße 69-73,3.11.2022,10:9:0,16.226451,48.3872641
TURMÖL Quick powered by boesch energy,0,1.717,2.007,7141,at,Burgenland,Neusiedl am See,Podersdorf,Neusiedlerstr. 67,3.11.2022,10:8:41,16.8432788,47.8587366
avanti - Sankt Margarethen an der Raab 190,0,0,1.994,8321,at,Steiermark,Weiz,Sankt Margarethen an der Raab, 190,3.11.2022,10:9:39,15.74609,47.04704
SOCAR Gmunden,0,1.673,1.994,4810,at,Oberösterreich,Gmunden,Gmunden,Mühlwangstraße 20,3.11.2022,10:9:19,13.8053132,47.9206129
LMEnergy Express,0,1.744,0,5751,at,Salzburg,Zell am See,Maishofen,Zellerstraße 1,3.11.2022,10:9:32,12.7995335,47.3594885
Turmöl,0,1.699,1.993,4201,at,Oberösterreich,Urfahr Umgebung,Gramastetten,Wöranstraße 2,3.11.2022,10:9:26,14.1933142,48.3800171
Turmöl ,0,1.749,2.009,8755,at,Steiermark,Judenburg,Rothenthurm,Triesterstrasse 14,3.11.2022,10:9:40,14.6057218,47.1780208
A1 Tankstelle Pöls,0,0,2.024,8761,at,Steiermark,Judenburg,Pöls,Tauernstraße 47,3.11.2022,10:9:40,14.5751201,47.2157962
Mössmer Transporte,0,0,1.999,6111,at,Tirol,Innsbruck Land,Volders,Gewerbestraße 1,3.11.2022,10:9:43,11.5734834,47.2899507
Shell Hall in Tirol,0,1.794,0,6060,at,Tirol,Innsbruck Land,Hall in Tirol,Pfannhausstrasse 10,3.11.2022,10:9:43,11.50315995,47.27964999
AVIA,0,1.749,2.019,6345,at,Tirol,Kitzbühel,Kössen,Kaltenbach 21,3.11.2022,10:9:44,12.4253387,47.6620529
Rickl Mühle,0,1.728,2.018,2221,at,Niederösterreich,Gänserndorf,Groß Schweinbarth,Raggendorfer Straße 1,3.11.2022,10:8:56,16.6461741,48.4018614
Diesel-Benzin-Diskont Groiss ,0,1.704,1.98,2000,at,Niederösterreich,Korneuburg,Stockerau,Josef-Jessernigg-Straße 3,3.11.2022,10:9:0,16.232125,48.387907
SOCAR Weitensfeld,0,1.723,2.019,9344,at,Kärnten,St. Veit,Weitensfeld,Kaindorf 27,3.11.2022,10:8:47,14.1672939,46.8510669
AVIA,0,0,2.054,6200,at,Tirol,Schwaz,Jenbach,Austraße 26,3.11.2022,10:9:48,11.7855675,47.3892748
Sprint - Landforst Knittelfeld,0,1.754,0,8720,at,Steiermark,Knittelfeld,Knittelfeld,Leobner Strasse 9,3.11.2022,10:9:40,14.839723501151141,47.217368366589476
TURMTANKSTELLE,0,0,1.98,5204,at,Salzburg,Salzburg Umgebung,Straßwalchen,Irrsdorfer Bachstraße Nr. 47,3.11.2022,10:9:29,13.276355,47.967945
eni24,0,1.669,1.979,3002,at,Niederösterreich,Wien Umgebung,Purkersdorf,Wiener Strasse 48,3.11.2022,10:9:6,16.192861,48.205435
Grübler Thomas Dieseltankstelle,0,0,1.997,5640,at,Salzburg,St. Johann,Bad Gastein,Böcksteiner Bundesstraße 15,3.11.2022,10:9:30,13.1342715,47.1054555
Toms Kfz Teile,0,1.687,0,2164,at,Niederösterreich,Mistelbach,Wildendürnbach,Wildendürnbach 110,3.11.2022,10:9:4,16.501615,48.756557
SOCAR Michelhausen,0,0,1.939,3451,at,Niederösterreich,Tulln,Michelhausen,Bergstraße 1,3.11.2022,10:9:8,15.9296682,48.2814015
Lagerhaus,0,0,1.999,9064,at,Kärnten,St. Veit,Magdalensberg,Görtschitztalstrasse 146,3.11.2022,10:8:46,14.4200719,46.6734993
,0,0,2.009,3650,at,Niederösterreich,Melk,Pöggstall,Neukirchen 19,3.11.2022,10:9:3,15.1619335,48.2893261
BP,0,1.749,2.019,6345,at,Tirol,Kitzbühel,Koessen,Huette 15 ,3.11.2022,10:9:44,12.4129411,47.6618131
Turmöl,0,0,2.019,4400,at,Oberösterreich,Steyr Land,Steyr,Franz-Paulmayr-Straße 100,3.11.2022,10:9:13,14.4153482,48.0491145
Shell Austria,0,1.869,0,5580,at,Salzburg,Tamsweg,TAMSWEG,ZINSGASSE 20,3.11.2022,10:9:31,13.8077,47.13165
Deine Tankstelle,0,1.727,1.987,8261,at,Steiermark,Weiz,Sinabelkirchen,Égelsdorf 14,3.11.2022,10:9:40,15.8132125,47.1208582
SOCAR Feistritz im Rosental,0,1.698,0,9181,at,Kärnten,Klagenfurt Land,Feistritz im Rosental,Hauptstraße 197,3.11.2022,10:8:46,14.1636058,46.524677
Diskont,0,1.739,0,4263,at,Oberösterreich,Freistadt,Windhaag bei Freistadt,Markt 6,3.11.2022,10:9:18,14.561648,48.588616
Disk,0,1.784,2.014,6020,at,Tirol,Innsbruck,Innsbruck,Pembaurstraße 30,3.11.2022,10:9:41,11.4118612,47.2674437
SOCAR Klagenfurt-Pischeldorferstraße,0,1.673,1.993,9020,at,Kärnten,Klagenfurt Land,Klagenfurt,Pischeldorferstraße 155,3.11.2022,10:8:44,14.3332067,46.6378812
speed-DISKONT-automatic Steyregg/Ort,0,1.704,0,4221,at,Oberösterreich,Urfahr Umgebung,Steyregg,Linzerstraße 5,3.11.2022,10:9:26,14.3684749,48.2840823
Disk,0,1.784,2.014,6020,at,Tirol,Innsbruck,Innsbruck,Amraser Straße 94,3.11.2022,10:9:41,11.4146134,47.2621079
Lagerhaus-Tankstelle,0,1.729,0,5400,at,Salzburg,Hallein,Hallein,Franz-Dückher-Weg 3,3.11.2022,10:9:29,13.0985329,47.6865408
IQ Tankstelle,0,1.664,1.989,4844,at,Oberösterreich,Vöcklabruck,Regau,Salzkammergutstrasse 3,3.11.2022,10:9:27,13.684733,47.991065
SOCAR Grafenstein,0,1.678,1.998,9131,at,Kärnten,Klagenfurt Land,Grafenstein,Schloß Rain 16,3.11.2022,10:8:46,14.413485,46.6291795
